"Config","Group","Name","Tags","Stars","Stackable","Description","Autospawn Type","Sprite Food Role","Icon","Notes"
"Weapon/Sword/Wrench Wand","Sword","Wrench Wand","fam_gremlin",2,false,"A heavy hand tool favored by Gremlins. It's good for both tightening bolts and cracking skulls.","GEAR","--","ui/icon/inventory/weapon/sword/wrench_wand.png",""
"Weapon/Sword/Arc Razor","Sword","Arc Razor","fam_construct",3,false,"A finely-crafted mechanical sword that flings sharp bolts of energy outward when swung.","GEAR","--","ui/icon/inventory/weapon/sword/arc_razor.png",""
"Weapon/Sword/Cautery Sword","Sword","Cautery Sword","fam_slime",3,false,"A sword adapted from a medical tool, its heated blade reduces tissue damage. It is very formidable at destroying monsters of the slime family.","GEAR","--","ui/icon/inventory/weapon/sword/cautery_sword.png",""
"Weapon/Sword/Fireburst Brandish","Sword","Fireburst Brandish","sc_fire",3,false,"An upgraded Brandish infused with the elemental essence of fire.","GEAR","--","ui/icon/inventory/weapon/sword/fireburst_brandish.png",""
"Weapon/Sword/Flamberge","Sword","Flamberge","",3,false,"A fiery foil that burns through as it runs through.","--","--","ui/icon/inventory/weapon/sword/flamberge.png",""
"Weapon/Sword/Grintovec","Sword","Grintovec","",3,false,"Your enemies will surely enjoy the cool, refreshing sensation of being hit by a glacier.","--","--","ui/icon/inventory/weapon/sword/grintovec.png",""
"Weapon/Sword/Honor Blade 2","Sword","Tempered Honor Blade","",3,false,"A ceremonial sword issued to seasoned Spiral Knights. Though intended for formal occasions, its fine edge makes it suitable for combat use.","--","--","ui/icon/inventory/weapon/sword/honor_blade_2.png",""
"Weapon/Sword/Iceburst Brandish","Sword","Iceburst Brandish","sc_freeze",3,false,"An upgraded Brandish infused with the elemental essence of ice.","GEAR","--","ui/icon/inventory/weapon/sword/iceburst_brandish.png",""
"Weapon/Sword/Kamarin","Sword","Kamarin","fam_fiend",3,false,"A low-tech sword that's less effective at cutting than it is at crushing your enemies and seeing them driven before you.","GEAR","--","ui/icon/inventory/weapon/sword/kamarin.png",""
"Weapon/Sword/Nightblade","Sword","Nightblade","fam_undead",3,false,"A short slicer infused with the essence of the Underworld.","GEAR","--","ui/icon/inventory/weapon/sword/nightblade.png",""
"Weapon/Sword/Rigadoon","Sword","Rigadoon","",3,false,"A stunning saber that will leave your opponent quite off their guard.","--","--","ui/icon/inventory/weapon/sword/rigadoon.png",""
"Weapon/Sword/Rocket Hammer 2","Sword","Stable Rocket Hammer","",3,false,"Designed by Warmaster Seerus himself, this nefarious gremlin weapon is equipped with a rocket engine that can launch the wielder forward with a powerful hammer smash.  This particular model is a more stable version that blew up gremlin test subjects far fewer times than the prototype.","--","--","ui/icon/inventory/weapon/sword/rocket_hammer_2.png",""
"Weapon/Sword/Sealed Sword","Sword","Sealed Sword","",3,false,"A mysterious sword of great untapped potential. It hums with raw power.","--","--","ui/icon/inventory/weapon/sword/sealed_sword.png",""
"Weapon/Sword/Shockburst Brandish","Sword","Shockburst Brandish","",3,false,"An upgraded Brandish infused with the elemental essence of lightning.","--","--","ui/icon/inventory/weapon/sword/shockburst_brandish.png",""
"Weapon/Sword/Striker","Sword","Striker","fam_beast",3,false,"A fast sword favored by members of the stealthier branches of the Spiral Order.","GEAR","--","ui/icon/inventory/weapon/sword/striker.png",""
"Weapon/Sword/Swift Flourish","Sword","Swift Flourish","",3,false,"An upgraded Flourish for knights who make a point of dispatching opponents with a bit of flair.","--","--","ui/icon/inventory/weapon/sword/swift_flourish.png",""
"Weapon/Sword/Tempered Calibur","Sword","Tempered Calibur","",3,false,"A Calibur reforged and tempered by the most advanced techniques available to weaponsmiths of the Spiral Order.","--","--","ui/icon/inventory/weapon/sword/tempered_calibur.png",""
"Weapon/Sword/Twisted Snarble Barb","Sword","Twisted Snarble Barb","",3,false,"A gnarled Snarble Barb enhanced to swing with a satisfying ""snicker-snack"".","--","--","ui/icon/inventory/weapon/sword/twisted_snarble_barb.png",""
"Weapon/Sword/Advanced Cautery Sword","Sword","Advanced Cautery Sword","fam_slime",4,false,"A Cautery Sword with an additional saw function adapted to cutting through the bony spines of larger Lichen Colonies.","GEAR","--","ui/icon/inventory/weapon/sword/advanced_cautery_sword.png",""
"Weapon/Sword/Ascended Calibur","Sword","Ascended Calibur","",4,false,"Made of a rare alloy of sun silver, knights talented enough to possess Caliburs as fine as this one typically bond with and name their blades.","--","--","ui/icon/inventory/weapon/sword/ascended_calibur.png",""
"Weapon/Sword/Avenger","Sword","Avenger","",4,false,"A holy sword created in another time to arm knights who fought against the legions of the Underworld.","--","--","ui/icon/inventory/weapon/sword/avenger.png",""
"Weapon/Sword/Blazebrand","Sword","Blazebrand","",4,false,"A high-tech blade that fuses Spiral and Clockwork technology. It can produce a concentrated high-temperature explosion that is harmless to knights.","--","--","ui/icon/inventory/weapon/sword/blazebrand.png",""
"Weapon/Sword/Blizzbrand","Sword","Blizzbrand","",4,false,"A high-tech blade that fuses Spiral and Clockwork technology. It can produce a concentrated low-temperature explosion that is harmless to knights.","--","--","ui/icon/inventory/weapon/sword/blizzbrand.png",""
"Weapon/Sword/Boltbrand","Sword","Boltbrand","",4,false,"A high-tech blade that fuses Spiral and Clockwork technology. It can produce a powerful electrical discharge that is harmless to knights.","--","--","ui/icon/inventory/weapon/sword/boltbrand.png",""
"Weapon/Sword/Cold Iron Carver","Sword","Cold Iron Carver","fam_undead",4,false,"An enchanted sword crafted from cold iron whose blade wards off the creatures of the dark.","GEAR","--","ui/icon/inventory/weapon/sword/cold_iron_carver.png",""
"Weapon/Sword/Daring Rigadoon","Sword","Daring Rigadoon","",4,false,"A savage skewer that will slow even the most salubrious of foes to a crawl.","--","--","ui/icon/inventory/weapon/sword/daring_rigadoon.png",""
"Weapon/Sword/Dark Thorn Blade","Sword","Dark Thorn Blade","",4,false,"A savage sword whose strength has been fortified by an offering of souls to the beast within.","--","--","ui/icon/inventory/weapon/sword/dark_thorn_blade.png",""
"Weapon/Sword/Faust","Sword","Faust","",4,false,"A powerful, cursed sword forged in the Underworld. Its powerful charge attacks can sometimes curse the one that wields it.","--","--","ui/icon/inventory/weapon/sword/faust.png",""
"Weapon/Sword/Fierce Flamberge","Sword","Fierce Flamberge","",4,false,"A scorching saber whose main thrust is to rotisserie your foes.","--","--","ui/icon/inventory/weapon/sword/fierce_flamberge.png",""
"Weapon/Sword/Grand Flourish","Sword","Grand Flourish","",4,false,"A fanciful blade for those who prefer to solve their problems with a hop, a skip and a stab.","--","--","ui/icon/inventory/weapon/sword/grand_flourish.png",""
"Weapon/Sword/Honor Blade 3","Sword","Ascended Honor Blade","",4,false,"A ceremonial sword issued to Champions of the Spiral Order. Though intended for formal occasions, its fine edge makes it suitable for combat use.","--","--","ui/icon/inventory/weapon/sword/honor_blade_3.png",""
"Weapon/Sword/Hunting Blade","Sword","Hunting Blade","fam_beast",4,false,"A jagged edge used for finishing off big game. It cuts through beasts like butter.","GEAR","--","ui/icon/inventory/weapon/sword/hunting_blade.png",""
"Weapon/Sword/Jalovec","Sword","Jalovec","",4,false,"A shivery sword for knights who think it'd be cool to inflict an avalanche of pain upon their foes.","--","--","ui/icon/inventory/weapon/sword/jalovec.png",""
"Weapon/Sword/Khorovod","Sword","Khorovod","fam_fiend",4,false,"A low-tech, but nonetheless well-made sword whose brutal strikes can stun unsuspecting enemies. Wielding it makes you feel like dancing.","GEAR","--","ui/icon/inventory/weapon/sword/khorovod.png",""
"Weapon/Sword/Silent Nightblade","Sword","Silent Nightblade","",4,false,"Crafted with some of the most devilish materials found on Cradle, this inky blade can explode with fiendish fury.","--","--","ui/icon/inventory/weapon/sword/silent_nightblade.png",""
"Weapon/Sword/Vile Striker","Sword","Vile Striker","sc_poison",4,false,"A sneaky saber that stores a payload of poison. Its serrated edge is not meant for cutting bread!","GEAR","--","ui/icon/inventory/weapon/sword/vile_striker.png",""
"Weapon/Sword/Winmillion","Sword","Winmillion","fam_construct",4,false,"An ornate blade that propels bolts of energy outward with every swing. Inexperienced users have been known to cut themselves when first practicing with it.","GEAR","--","ui/icon/inventory/weapon/sword/winmillion.png",""
"Weapon/Sword/Acheron","Sword","Acheron","",5,false,"Striking with the savage power of the Underworld, this dark weapon has been known to drive weak-minded knights to the brink of madness.","--","--","ui/icon/inventory/weapon/sword/acheron.png",""
"Weapon/Sword/Alpha Claw Gauntlet","Sword","Alpha Claw Gauntlet","fam_beast",5,false,"A protective Wolver-hide gauntlet affixed with razor sharp claws.","--","--","ui/icon/inventory/weapon/sword/alpha_claw_gauntlet.png",""
"Weapon/Sword/Amputator","Sword","Amputator","fam_slime",5,false,"The culmination of slime family research, the heated reciprocating blades cut through all slimes with surgical precision and prevent their gelatinous bodies from reforming.","GEAR","--","ui/icon/inventory/weapon/sword/amputator.png",""
"Weapon/Sword/Barbarous Thorn Blade","Sword","Barbarous Thorn Blade","",5,false,"A mythical blade that lashes out with the fury of the Snarbolax itself. Those who wield it claim to feel the fiery stare of the beast upon them whenever they close their eyes.","--","--","ui/icon/inventory/weapon/sword/barbarous_thorn_blade.png",""
"Weapon/Sword/Caladbolg","Sword","Caladbolg","",5,false,"A formidable greatsword of lore, its blows cleave the battlefield like a rainbow crosses the sky.","--","--","ui/icon/inventory/weapon/sword/caladbolg.png",""
"Weapon/Sword/Celestial Saber","Sword","Celestial Saber","",5,false,"A special saber said to resemble Isoran spacefarers of old as they sliced across the night sky. With this equipped, your foes are sure to see stars.","--","--","ui/icon/inventory/weapon/sword/celestial_saber.png",""
"Weapon/Sword/Cleaver, Freeze","Sword","Frozen Great Cleaver","",5,false,"A custom made Triglav designed by Biscotti, head chef of the Skylark. Though she swears it's used just for cooking, one can't help but think more than a few monsters have met it at the chopping block as well.","--","--","ui/icon/inventory/weapon/sword/cleaver_fre.png",""
"Weapon/Sword/Cleaver, Stun","Sword","Mighty Great Cleaver","",5,false,"A custom made Sudaruska designed by Biscotti, head chef of the Skylark. Though she swears it's used just for cooking, one can't help but think more than a few monsters have met it at the chopping block as well.","--","--","ui/icon/inventory/weapon/sword/cleaver_nrm.png",""
"Weapon/Sword/Cold Iron Vanquisher","Sword","Cold Iron Vanquisher","fam_undead",5,false,"A powerful cold iron blade forged for the singular purpose of hunting down and destroying the undead.","GEAR","--","ui/icon/inventory/weapon/sword/cold_iron_vanquisher.png",""
"Weapon/Sword/Combuster","Sword","Combuster","",5,false,"Combining the principles of the Skylark's engines with the technology powering the Blast Furnace produced this brutal blade, which can ignite even the most flame-retardant materials at a distance.","--","--","ui/icon/inventory/weapon/sword/combuster.png",""
"Weapon/Sword/Deadly Candy Poker","Sword","Deadly Candy Poker","",5,false,"A toothache will be the least of their worries when you're armed with this perforating present.","--","--","ui/icon/inventory/weapon/sword/candy_striped_poker.png",""
"Weapon/Sword/Divine Avenger","Sword","Divine Avenger","",5,false,"An upgraded Avenger forged from the purest sun steel. There are few foes remaining in this world that are worthy enough to be defeated by such a fine blade, and there are still fewer heroes worthy of wielding it.","--","--","ui/icon/inventory/weapon/sword/divine_avenger.png",""
"Weapon/Sword/Dread Captain Cutlass","Sword","Dread Captain Cutlass","sc_poison",5,false,"A custom curving cutter kept keen on careless castaways.","--","--","ui/icon/inventory/weapon/sword/dread_captain_cutlass.png",""
"Weapon/Sword/Dread Venom Striker","Sword","Dread Venom Striker","sc_poison",5,false,"An assassin's armament whose edge causes deep wounds that seep with vitriol. You should probably store it separately from your snacks.","GEAR","--","ui/icon/inventory/weapon/sword/dread_venom_striker.png",""
"Weapon/Sword/Fang of Vog","Sword","Fang of Vog","",5,false,"A sword said to be created from the fang of the fire beast, Vog.","--","--","ui/icon/inventory/weapon/sword/fang_of_vog.png",""
"Weapon/Sword/Fearless Rigadoon","Sword","Fearless Rigadoon","",5,false,"The ultimate in paralyzing piercers, it's unclear whether its elegance or its wicked bite is what leaves opponents stupefied.","--","--","ui/icon/inventory/weapon/sword/fearless_rigadoon.png",""
"Weapon/Sword/Final Flourish","Sword","Final Flourish","",5,false,"The premier armament of the serious fencer, it can riposte just as easily as it can rip up foes.","--","--","ui/icon/inventory/weapon/sword/final_flourish.png",""
"Weapon/Sword/Firestorm Skeggox","Sword","Firestorm Skeggox","",5,false,"An ornate, fiery axe favored by raiders for its versatility.","--","--","ui/icon/inventory/weapon/sword/raiders_axe.png",""
"Weapon/Sword/Furious Flamberge","Sword","Furious Flamberge","",5,false,"Great fencers can carve their name into their opponents. Legendary ones brand it there.","--","--","ui/icon/inventory/weapon/sword/furious_flamberge.png",""
"Weapon/Sword/Furious Fork","Sword","Furious Fork","",5,false,"A good chef knows when to flip burgers. A great chef cooks burgers while they flip them.","--","--","ui/icon/inventory/weapon/sword/spatula.png",""
"Weapon/Sword/Furious Fork, Tech Green","Sword","Tech Green Furious Fork","",5,false,"A good chef knows when to flip burgers. A great chef cooks burgers while they flip them.","--","--","ui/icon/inventory/weapon/sword/spatula_wtg.png",""
"Weapon/Sword/Furious Fork, Tech Red","Sword","Tech Red Furious Fork","",5,false,"A good chef knows when to flip burgers. A great chef cooks burgers while they flip them.","--","--","ui/icon/inventory/weapon/sword/spatula_wtr.png",""
"Weapon/Sword/Glacius","Sword","Glacius","",5,false,"Mixing some advanced theories on cryogenics with the technology powering the Cooling Chamber produced this advanced armament, which is capable of flash-freezing the most formidable of foes.","--","--","ui/icon/inventory/weapon/sword/glacius.png",""
"Weapon/Sword/Gram","Sword","Gram","",5,false,"An extraordinarily heavy sword whose weight will slow down even the swiftest of knights. That said, just imagine what it'll do to anything you hit with it...","--","--","ui/icon/inventory/weapon/sword/gram.png",""
"Weapon/Sword/Gran Faust","Sword","Gran Faust","",5,false,"An upgraded Faust forged from pristine-quality shadow steel. Its charge attacks are powerful enough to curse its wielder, but that hasn't stopped Devilites from treasuring these rare blades even more highly than their meager vacation time.","--","--","ui/icon/inventory/weapon/sword/grand_faust.png",""
"Weapon/Sword/Honor Blade 4","Sword","Lionheart Honor Blade","",5,false,"A ceremonial sword issued to Vanguards of the Spiral Order. Though intended for formal occasions, its fine edge makes it suitable for combat use.","--","--","ui/icon/inventory/weapon/sword/honor_blade_4.png",""
"Weapon/Sword/Ice Axe","Sword","Ice Axe","",5,false,"A technical climbing tool that can pick apart monsters with precision.","--","--","ui/icon/inventory/weapon/sword/ice_axe.png",""
"Weapon/Sword/Leviathan Blade","Sword","Leviathan Blade","",5,false,"A rare treasure of the Spiral Order, the blows from this mythical sword are said to rain down upon its victims like the water from a tidal wave.","--","--","ui/icon/inventory/weapon/sword/leviathan_blade.png",""
"Weapon/Sword/Node Slime/Node Slime, Amethyst","Sword","Amethyst Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Aquamarine","Sword","Aquamarine Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Blue","Sword","Cool Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Citrine","Sword","Citrine Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Curse","Sword","Wicked Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Dangerous","Sword","Dangerous Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Diamond","Sword","Diamond Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Divine","Sword","Divine Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Emerald","Sword","Emerald Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Garnet","Sword","Garnet Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Glacial","Sword","Glacial Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Gold","Sword","Regal Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Green","Sword","Military Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Hazardous","Sword","Hazardous Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Heavy","Sword","Heavy Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Hunter","Sword","Hunter Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Opal","Sword","Opal Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Pearl","Sword","Pearl Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Peridot","Sword","Peridot Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Pink","Sword","Fancy Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Purple","Sword","Dusky Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Red","Sword","Toasty Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Ruby","Sword","Ruby Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Sapphire","Sword","Sapphire Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Shadow","Sword","Shadow Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Turquoise","Sword","Turquoise Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Node Slime/Node Slime, Volcanic","Sword","Volcanic Node Slime Crusher","",5,false,"This calloused carving crusher cascades fury upon fatigued foes.","--","--","ui/icon/inventory/weapon/sword/nodeslime.png",""
"Weapon/Sword/Obsidian Edge","Sword","Obsidian Edge","",5,false,"A sinister sword made from the obsidian obelisks found within the realm of the Apocrea. Simply holding it makes you somehow feel guilty of an unknown crime.","--","--","ui/icon/inventory/weapon/sword/obsidian_edge.png",""
"Weapon/Sword/Parts/Base (Furious Fork)","Sword","Furious Fork","",5,false,"A good chef knows when to flip burgers. A great chef cooks burgers while they flip them.","--","--","ui/icon/inventory/weapon/sword/spatula.png",""
"Weapon/Sword/Rocket Hammer 3","Sword","Warmaster Rocket Hammer","",5,false,"Designed by Warmaster Seerus himself, this nefarious gremlin weapon is equipped with a rocket engine that can launch the wielder forward with a powerful hammer smash.  This final, perfected design is truly befitting the Grand Arsenal of the great Warmaster Seerus.","--","--","ui/icon/inventory/weapon/sword/rocket_hammer_3.png",""
"Weapon/Sword/Scissor Blades","Sword","Scissor Blades","",5,false,"A custom made Leviathan Blade designed by Bechamel, the Accessorizor.  While these blades are typically used for crafting stylish accoutrements for armor, they are said to be powerful enough to cleave through solid rock.","--","--","ui/icon/inventory/weapon/sword/scissor_blades.png",""
"Weapon/Sword/Squall Caller","Sword","Squall Caller","",5,false,"An ornate hammer infused with the power of a great storm, it's as cutting-edge as a blunt weapon can be.","--","--","ui/icon/inventory/weapon/sword/raiders_hammer.png",""
"Weapon/Sword/Sudaruska","Sword","Sudaruska","",5,false,"A rugged weapon for the knight who is more than willing to trade style and panache for ridiculous amounts of blunt force trauma.","--","--","ui/icon/inventory/weapon/sword/sudaruska.png",""
"Weapon/Sword/Sweet Dreams","Sword","Sweet Dreams","fam_undead",5,false,"Don't be fooled by this weapon's fluffy exterior. It hits much harder than it looks. The perfect weapon for fighting things that go bump in the night.","--","--","ui/icon/inventory/weapon/sword/sweet_dreams.png",""
